RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,564461,567795,570658,572179,575524,579166,580856,583070,585613,590575,596773,601878,607155,612917,618703,623243,625227,627653,628168,629201,630364,633817,636129,635854,635279,633105,631271,630818,631688,633482,631409,631367,632638,637348,640082,643287,646414,652995,659827,665371,663189,660450,663031,672122,683282,693285,701027,706470,710277,717292,724304,734737,748675,766484,786445,798469,807117,809652,814209,819573,824749,833178,847848,865622,880941,882627,882121,868916,858233,846652
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,233341,235168,237553,238976,239723,239413,239179,239223,240163,240801,241552,242943,245459,247857,248699,248840,248913,249166,249282,249208,249792,250182,251097,251855,252286,252901,253201,253595,253269,252812,252588,252224,252010,251497,251268,251157,251586,252148,252418,252189,251875,251903,253337,255197,258935,262272,265071,266731,267364,269636,271379,274385,276166,279190,282732,286479,289068,291559,294460,297191,299768,301527,304104,306266,309736,312549,314549,315039,315606,316080
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,183745,184165,184612,185447,185949,186405,186451,186571,186778,187380,188035,188604,189288,189877,190514,191555,192597,193590,194241,195166,196112,197110,198035,198896,199943,200780,201171,201156,201247,201750,202237,202754,202949,203791,204479,205122,204815,204986,205936,207353,208233,208595,209054,210023,212226,214571,217130,219272,221362,223926,225167,226995,229258,234176,239565,245372,249810,253619,256223,259306,262518,266166,270894,276007,281014,284879,287437,288997,289365,290111
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,237000,238452,240268,241526,242525,243610,245341,246310,247843,249187,250560,251318,252799,255128,257436,259306,260861,262160,263651,265162,267103,268298,269193,270032,271181,272433,273866,274712,275457,276179,277350,279277,280968,282651,284304,286401,288509,290603,293668,297951,300779,302492,304383,308815,314143,319502,324838,331099,338520,344920,353650,360262,372458,383871,397135,407112,415319,422809,428902,434638,440380,449053,458305,469851,478735,485093,482677,476071,466128,461085
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,518024,521096,525041,530309,535393,539166,540648,541612,544003,549270,552671,556518,562505,568955,573093,572891,572319,573382,575423,578473,579641,581882,582800,582456,578759,576445,576089,579081,580687,582534,584773,586733,587296,587847,589840,592322,595231,598425,603992,607873,610751,610988,614516,621101,631063,641944,653853,664341,673644,681917,692024,705885,726619,750501,774050,788507,798103,802781,810221,821411,841589,861639,884547,903702,916817,916285,905021,893987,887023,881973
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,675077,677231,681805,683185,685725,689193,690552,691364,693232,697425,702609,707814,712032,715856,719258,723535,727182,730692,731178,732086,731431,734263,734985,733891,731479,729307,728870,728338,729320,728424,729243,731054,736382,739714,739735,738132,740413,745315,752405,756447,755059,751734,751912,761659,771652,781953,788856,796777,804294,812571,822059,834096,853073,876598,899636,916572,927432,937178,949907,967565,991030,1012496,1036754,1059697,1079916,1081213,1072645,1057592,1051581,1047950
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,280981,282812,283621,284382,285746,287190,288463,289986,290951,292594,292999,294682,295551,297956,299882,302135,303761,305236,306709,307454,308425,308906,311516,313134,315159,315472,316379,317208,317319,317882,318185,318244,317973,318341,318685,318868,318896,321586,323903,325686,326698,327434,328673,329879,331823,333602,334902,337558,341605,345509,350171,352866,357786,362576,368802,375238,383128,391514,399269,407091,415441,423083,431391,439322,451534,464451,478392,487342,491893,493999
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,179267,180774,182281,183837,185289,186249,187169,187145,187670,188175,189639,191516,194854,198284,201220,202672,204067,205458,207237,209860,210999,211614,211386,212555,215393,218026,220349,220531,220106,219572,219506,220687,222286,222054,221230,219952,222233,224281,226641,226734,226526,226332,226812,228826,231255,234138,235848,237802,240730,244352,247698,250552,253816,258244,262851,269777,276607,282163,285386,288263,293442,300712,308024,316691,323460,330069,332601,333440,330094,328463
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,697038,701251,704945,708970,712794,715177,717853,721039,726494,732979,738607,743767,747202,751924,754902,757068,758976,762312,766083,769172,769725,771972,776233,781462,784887,787327,789427,791121,791946,792152,792953,790581,788256,784835,782679,781092,780466,780729,783101,785338,786947,787349,789906,793854,797693,800176,804209,806435,807350,807619,808394,810604,810581,812734,816226,824198,831770,836670,838053,839035,842641,847552,854083,859875,864970,870271,873999,877641,879823,881532
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,338961,339463,341686,344096,346970,349590,351055,353356,355593,358286,359254,360134,361700,365692,369248,372648,375344,377830,379912,381102,381793,381623,382457,382826,384962,386259,388282,389248,389418,389461,390220,390978,391006,392430,392928,395792,395856,396942,397422,399435,401823,403334,405993,410303,416136,421538,427698,433921,439815,446444,454014,464349,476145,490772,507708,523561,535624,543516,547888,552256,563401,576484,592847,602862,611797,616824,616242,612955,606875,603773
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,561116,563630,566565,568416,571629,574466,577891,581243,584417,588543,591805,594726,597144,600825,605316,610533,615161,620236,625493,629726,633173,634616,637050,640034,643187,646514,649002,650003,650373,649497,648976,648275,647027,646397,645866,646677,648579,651737,653268,654223,652724,652542,654377,656584,659765,660215,662862,666538,671437,673895,674833,675417,679512,683563,687941,690664,696029,701376,705809,708118,711264,714898,720117,723899,729446,733973,738209,740839,742633,746179
207,11,King County,county,WA,WA,"Seattle-Tacoma-Bellevue, WA",53,33,523734,530450,535131,541332,548797,556526,564045,570032,575336,582270,587113,594354,602358,614918,626749,633715,635432,633379,629860,627876,628777,629609,629148,626865,625325,622560,620430,616677,613622,609588,608386,608831,609464,609790,613920,621269,630711,638197,645265,648989,647448,646550,649466,659904,670773,682260,691158,695788,700710,706279,713054,724564,736071,756932,772180,785579,793783,800407,814205,826563,841911,856124,878340,903042,916092,913293,903178,894257,890484,886803
445,12,Clark County,county,NV,NV,"Las Vegas-Henderson-Paradise, NV",32,3,218397,218469,221348,223977,226664,230020,233767,236674,239885,243636,248002,252053,254687,258081,259852,262614,264911,268755,272209,275981,278588,280390,281306,283144,284885,286696,287074,288249,288715,288667,287222,285781,284567,284755,286151,287592,289096,290228,292554,295109,295406,293665,292761,294943,299242,302750,305977,309325,312797,316104,319834,324284,332661,343598,355148,364124,371631,378552,385830,392272,401895,411946,423541,432173,440361,445684,447324,444463,438600,431257
3250,13,San Bernardino County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,71,300826,303446,304861,306941,308059,310590,310195,311901,312991,316379,319489,322591,325617,328170,330442,332087,334402,335976,337315,338356,340583,342684,343323,343324,343944,344705,345817,346625,348013,348703,348532,349030,349717,351545,352939,354340,355536,357563,360216,362848,362585,362690,364776,369995,375537,381034,386308,392502,398699,404605,410892,418477,429185,439231,450929,461355,472422,477985,482322,487649,495195,503899,511156,518171,523327,528526,528222,526140,521221,521137
2049,14,Tarrant County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,439,186214,188310,189446,190785,191860,193425,194963,196513,198247,200318,202409,203999,205444,207047,208763,210213,211120,212350,213419,213903,214429,215011,216455,218073,219724,220782,221230,221516,222020,222182,222353,222967,224113,225292,226125,226791,227425,228347,229302,230017,230157,230841,231839,234343,236654,239386,241599,243901,245816,248112,251704,257615,264671,271636,278307,284414,290161,295148,299365,304226,309926,317312,324336,332427,340112,345984,347537,345553,343997,343650
386,15,Bexar County,county,TX,TX,"San Antonio-New Braunfels, TX",48,29,183298,185300,186504,186861,186988,187556,188431,189597,190555,191663,192643,193155,193208,193320,194438,195660,196924,197819,198768,199702,200049,200745,201133,202633,203831,205546,206231,207023,207486,208127,208745,209406,210481,211230,211954,211895,212366,212500,213417,213386,213489,213388,214331,215744,217981,220514,222787,224699,226571,229082,231662,235218,239616,245590,251057,256792,260644,264806,268541,273304,278098,282578,288354,294096,299269,302306,303405,303765,303557,303016
3136,16,Santa Clara County,county,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",6,85,1012307,1022159,1026809,1032616,1036266,1044508,1052748,1067843,1091200,1116664,1141707,1166568,1192789,1221692,1247404,1266513,1288887,1307325,1327407,1322694,1312403,1296546,1285926,1267211,1244643,1224652,1210176,1204258,1197506,1186746,1175700,1167161,1171151,1170810,1174426,1176432,1191352,1206328,1226165,1231319,1214363,1198399,1193879,1218568,1238112,1255382,1268245,1279353,1287929,1289866,1293119,1308616,1346412,1392875,1429466,1449936,1455905,1464486,1478702,1498969,1526645,1564140,1602407,1637654,1647783,1635003,1590693,1542957,1542673,1557005
1561,17,Broward County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,11,235280,235662,236270,238165,239479,240718,241614,243135,244577,246269,247949,249763,250739,251772,254030,255610,257823,259168,261031,262385,263214,264147,265867,267656,269361,269754,270273,270624,270731,271092,270843,270765,271208,272524,273643,273969,275019,276351,277982,280117,282221,283608,282689,283075,284673,288449,292172,295759,298490,300746,303386,306443,311658,317841,325774,333133,340783,347298,353426,359050,365710,372224,380484,391435,402897,413161,419875,424926,427451,427149
791,18,Wayne County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,163,85657,86535,87140,88029,89085,90455,91159,91860,92396,93058,93540,94079,95021,96303,98279,100213,101866,102640,103223,103607,104345,104945,105603,106286,106722,107228,107539,108402,109423,110364,110868,111040,111274,111257,111612,111777,112417,112845,113885,114959,115457,115434,116124,117758,119623,121298,123639,126507,128724,130720,131921,133282,135038,137544,139900,142422,144100,146321,146797,147836,149072,151084,153736,156093,158232,159172,159342,159401,159935,160541
1510,19,Alameda County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,1,749303,753150,760196,763514,766237,770016,776509,782562,792257,799668,808720,819518,832005,842494,850675,861400,872921,880286,886269,891650,894745,894444,891649,883157,874723,870286,870131,869712,867755,866178,866313,865582,865427,863472,861638,864150,872713,878744,886265,884335,876965,868439,873938,890247,907854,921695,936311,943771,949188,959168,980031,1004786,1032590,1062561,1095516,1115509,1124560,1123451,1131068,1141590,1160474,1182895,1210936,1235314,1248140,1243287,1232421,1205238,1191210,1178968
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,61,1272229,1267958,1257340,1251123,1252148,1257071,1267754,1268610,1270543,1275603,1284730,1291219,1288297,1295442,1302231,1310288,1309291,1306111,1302783,1303829,1308660,1312739,1320428,1321130,1321944,1312011,1309439,1299072,1294323,1285394,1281439,1269840,1256520,1245777,1245962,1252079,1256528,1255053,1247531,1244912,1238067,1233048,1220323,1216161,1212840,1218634,1217052,1215273,1207563,1200960,1196271,1199314,1207860,1220219,1233193,1247134,1258280,1265118,1270266,1273518,1280835,1290392,1303980,1317638,1330861,1338226,1341493,1343770,1343729,1342332
2801,21,Middlesex County,county,MA,MA,"Boston-Cambridge-Newton, MA-NH",25,17,496881,496631,499126,502465,508221,510484,513252,514078,517757,520965,525242,528076,531178,535960,540021,542739,543612,545104,546967,547954,548416,548662,549385,550619,552104,552997,552246,552022,551139,551999,551338,551171,552215,552859,553984,554202,556823,559235,562569,564264,562860,561523,562095,569027,576176,584767,591905,599134,603931,609602,614943,620624,629389,641238,653063,660347,663559,666889,670310,674536,680377,687453,698426,710873,723100,729352,729499,725862,723245,720797
3175,22,Philadelphia County,county,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,101,149454,149586,149417,150588,151931,152773,153366,154017,155026,156757,158305,160156,161734,163888,166118,167826,169055,169705,170858,172093,173609,174789,176279,177991,180009,181379,182028,182227,182937,183645,184484,185123,185931,186678,187300,188210,189247,190481,191815,193099,193672,194162,195755,198819,201596,204344,206525,209032,211454,213885,216052,217839,220162,222522,224715,226031,227125,228175,229208,230125,230562,230953,231543,232541,234423,236495,238053,239333,240550,242573
3017,23,Sacramento County,county,CA,CA,"Sacramento-Roseville-Folsom, CA",6,67,321025,324338,328019,329901,331582,334986,337975,339410,340254,342331,344893,348552,351880,355636,357581,358999,360788,362894,364815,365501,365220,364923,365262,366708,367349,367464,367419,369278,371530,373340,373568,373152,374036,375432,378983,382186,385409,387926,391231,394006,394209,392591,393823,397990,404468,411349,417873,425050,430644,438516,444158,452883,461357,473087,486121,497372,506967,509267,512267,515522,523908,532847,541442,548803,555987,560978,559825,550262,541702,537465
2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,478255,479423,479490,479856,483106,487795,492780,496069,499120,502001,504733,505855,506310,506704,508233,509863,512397,515006,517925,520911,523829,526132,527626,527510,527575,527134,529585,532690,535110,535967,536169,536518,536793,536111,535160,534924,535887,538924,541790,544535,546268,548052,550054,553990,560679,569952,581113,591564,600256,606704,614102,622018,631781,640323,651444,660922,670639,676032,680091,683871,690284,699874,708937,717184,725427,731332,735471,735378,738066,739403
2993,25,Palm Beach County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,99,262468,264116,265109,265926,266718,267876,269268,270854,272820,274724,275953,276742,277891,279562,280679,281312,282289,283789,285471,286545,287167,288080,289313,290999,292104,291870,292058,292072,292935,293544,294592,295067,294651,294631,295651,296729,298157,299784,301123,301472,301115,301369,303088,305673,309156,311872,314784,317762,320846,323556,327674,333523,340969,349381,357511,366104,374774,384511,393944,402279,411385,420031,434998,448732,465815,477173,487552,491370,495372,497525
401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,5,363327,364783,364001,362749,363596,366437,371644,375408,381057,383567,385561,385011,385225,383665,385302,388358,394330,399379,402155,404700,405195,407364,409990,412718,417666,423659,430293,433695,436042,438977,442282,445530,447970,449801,451140,453773,459262,463264,462782,460445,459322,463347,465636,465981,464436,462849,462283,461440,463872,466381,470455,472370,471165,468128,466530,468781,472311,475332,477963,479764,482373,484880,488030,491198,494707,498658,499900,501773,503291,506002
3165,27,Hillsborough County,county,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",12,57,204025,205443,206488,208422,209964,211577,212423,213445,214259,214891,216277,217797,219628,221663,223994,225525,225862,226081,226874,228312,230075,231526,232757,234156,235866,236893,237315,237460,238136,238319,238800,239105,239284,239567,240037,241077,242545,243973,245348,246553,247630,249113,250543,253220,255574,258196,260295,263619,267523,272243,276966,281429,286913,295644,306534,316576,324765,331408,339338,346059,355086,363131,374757,385768,397804,405423,410133,411654,412356,411251
1252,28,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,59,503890,506686,509412,511440,515121,519739,523914,526906,528305,530251,531677,534059,536306,539426,543216,547734,551768,554486,555413,556622,559032,563130,566023,568823,570160,572484,573922,575396,575120,574468,572933,572550,571546,570892,571128,572492,573997,575102,575332,575699,576430,576551,578652,579957,586334,593534,601800,608468,613032,618299,622379,626711,630334,637118,646325,657022,664021,667713,669427,671246,674470,677767,684208,692892,702744,708426,710110,711259,710969,710160
1287,29,Orange County,county,FL,FL,"Orlando-Kissimmee-Sanford, FL",12,95,216407,218920,220782,222424,223283,225395,226537,227951,229636,231191,233014,234602,235173,236424,237832,240742,243111,245000,246482,247612,249021,250801,252955,255039,257005,257872,258331,257952,257985,258238,258595,259106,259730,260542,261694,262818,263981,265406,266454,268143,269647,271349,272467,274102,275424,277842,280276,282894,285555,287517,290160,292869,296908,302992,311045,319260,326705,333082,340479,347387,354413,361479,370521,381650,392511,401436,406672,409629,411527,412398
2288,30,Franklin County,county,OH,OH,"Columbus, OH",39,49,158463,160846,162955,164428,165385,166427,167260,168188,169169,170597,172267,174066,174272,173484,173614,175288,178038,179908,181616,182761,183532,184652,185511,186400,187350,188922,190641,191919,193257,194150,194523,194685,195404,196520,197516,199072,201061,203228,204630,205855,206684,207526,208558,210466,212787,215251,218188,221525,224845,227663,230517,233355,236867,240691,244437,247071,249304,251938,255099,258011,260966,264654,268787,273370,276664,279641,281938,283995,285210,284070
1950,31,Oakland County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,125,222713,223356,226020,228467,231520,232586,232568,232268,232978,233994,235727,237439,240172,242079,243126,244047,246131,248167,249753,250140,250646,250478,251719,253018,255533,257308,258892,259322,259631,259669,259698,259542,259212,259863,260092,260527,261324,262988,267341,270212,271462,268014,265373,265276,268870,273240,276656,280015,281983,285059,287617,291008,295081,300309,306170,310195,312242,313915,315748,319333,324591,329558,333491,336675,339095,342293,341218,339733,336781,336802
2241,32,Cuyahoga County,county,OH,OH,"Cleveland-Elyria, OH",39,35,116194,116480,117352,118822,120311,121025,121120,121348,122067,123126,123847,124257,124749,126704,128380,129888,129847,130128,130393,130650,131172,131617,132591,133307,134068,134141,134514,134580,135602,136176,137230,137981,138367,138455,138127,138574,139449,140474,141177,142356,143154,144187,145228,147586,150287,152868,154718,155978,157548,159501,161976,164176,167778,171863,175913,178080,179702,180355,181372,182453,184046,186592,189190,192913,195140,196964,197378,197923,197966,197476
2339,33,Hennepin County,county,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27,53,261717,263181,265443,268332,270565,271519,272359,272945,273546,273791,275321,277643,281114,284639,287230,288868,289434,290284,290538,291698,292870,294573,295511,296662,297579,298976,299709,300743,300566,300336,299568,299497,300699,302585,305351,307881,309073,309628,309551,310782,312196,313851,314807,316856,319565,324070,327393,330018,332303,334921,337835,339732,342439,346403,351728,354707,356109,355832,357189,359422,361871,365413,369438,373315,375959,376418,376479,374778,373937,374167
1440,34,Travis County,county,TX,TX,"Austin-Round Rock-Georgetown, TX",48,453,325911,326691,328006,330030,331178,331734,331684,331844,332673,334262,336178,338025,339889,341179,342049,342071,342770,344319,346025,348516,349496,350990,350970,352091,353809,356503,357893,359048,359422,360160,360470,361420,363502,364524,366061,366919,369556,371528,375067,378695,382273,384065,386227,390341,396491,402925,410397,416785,423393,434898,451120,,495903,521615,542652,558117,563704,569697,575242,588695,601068,616488,629924,640628,647812,642247,630566,616988,609630,606822
2614,35,Allegheny County,county,PA,PA,"Pittsburgh, PA",42,3,145787,145884,146084,147411,148443,149062,149574,150305,151127,151711,152244,152725,153493,153838,155581,157099,158679,158944,159264,159760,160271,160917,161468,161943,162561,163517,164150,164308,165025,166044,166809,166908,166692,167044,167961,169130,169972,170539,171696,172765,172552,172459,173419,176254,179550,182826,185740,188108,190967,192197,193569,195347,200799,206073,210027,211620,212091,212635,212917,214270,216455,220122,223047,225225,225134,224788,223350,221466,219746,218640
1694,36,Fairfax County,county,VA,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,59,527495,530978,530324,532261,529915,530627,530318,532929,534566,536089,536906,536083,537967,539009,543766,544397,545950,546357,547286,548841,550116,551226,551638,552475,553496,556022,558934,561509,562087,561145,560770,562867,565640,569346,572631,576060,577572,579231,580663,584496,585369,588369,591169,598553,604103,609768,613527,617572,622978,625704,630388,637117,648061,657294,660809,660649,660774,662601,666850,671837,677162,688839,699077,707755,710533,710040,708129,702229,701585,704459
3159,37,Contra Costa County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,13,610168,615440,619084,623862,626714,627189,628600,630622,637772,642902,648339,652046,657683,663887,667361,668065,670492,675025,679510,679656,683683,688432,690911,689214,686823,683488,679225,676550,676021,674972,675332,675369,675796,677263,679869,683801,680250,677739,675972,678934,675107,672130,677858,692348,710114,721192,730435,737832,744998,754256,761982,774676,797080,822877,854485,871252,881639,881731,886993,896021,908761,918366,935598,951949,960408,952551,940812,930000,921175,910634
2840,38,Salt Lake County,county,UT,UT,"Salt Lake City, UT",49,35,311928,314555,317043,319690,321723,324146,326550,329892,331948,334049,335407,337284,338897,341732,345187,348709,351539,353363,356426,358849,361333,363222,365493,368630,373215,377206,379713,379997,379886,380389,381580,383710,385889,386950,387456,388151,391365,394218,397388,398991,402198,404837,408561,413503,418810,425041,430835,438723,445470,453431,461304,471293,483992,500010,515904,529548,537427,545463,550484,559287,567650,582493,593638,606668,616121,618027,612538,598875,593236,589910
3102,39,Mecklenburg County,county,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",37,119,217282,218230,219383,220272,221572,222850,223985,225906,227682,230106,232105,234262,236387,238620,240073,241038,241916,243111,244871,246359,248161,249334,251315,253080,255162,255610,255675,255937,256319,256692,256711,257283,258164,259907,261956,264153,265350,267248,267757,268720,269766,271785,273943,276248,279574,283564,286662,289670,294107,298502,303269,307537,313025,320575,329098,337852,345572,351300,357588,362747,370079,378058,388104,398449,407411,413074,415555,416391,416544,415606
324,40,Wake County,county,NC,NC,"Raleigh-Cary, NC",37,183,270419,272201,274468,276058,277409,277871,278289,278692,279508,281146,282955,284451,285575,286454,287649,288681,290606,291640,292900,294222,295815,296940,297942,299306,301256,303250,304484,304991,304678,304907,305407,305617,306099,307208,308804,309851,309892,310111,311360,313417,314721,315250,316077,317756,320464,323084,326529,330656,335817,341010,345981,351414,357972,366886,378159,391711,403827,414978,422930,431705,441516,453359,466665,479733,492765,501936,502386,497734,492148,489386
2975,41,Montgomery County,county,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24,31,447839,450379,453519,454234,454271,454624,455007,455675,455667,457018,459146,461179,460843,462767,464018,467124,467853,469415,470422,471187,471394,471462,471686,473058,476616,477682,477015,474819,474689,475688,475404,475250,474530,475787,477627,478508,478281,478340,481361,483926,485161,485295,486817,490143,494298,498970,504388,511054,516340,521889,527385,533527,538149,543978,548467,553540,554026,556901,557809,560609,561077,562134,566573,574104,582608,586475,587213,586676,586308,586892
1020,42,Fulton County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,121,256736,259207,261405,262385,263678,264937,266776,268618,271503,273910,275889,277336,278848,280661,282301,284482,287054,289573,291939,293538,295859,297973,299860,300636,301382,301707,302329,302832,304317,304032,304454,304296,305215,305609,306042,307480,308642,310843,311577,311857,310604,310913,312844,315642,318375,321185,323256,326348,328967,333501,337672,342235,347094,352578,358632,365727,373484,382784,389578,396301,402144,411267,417399,425042,431925,439166,443451,443723,444835,443808
281,43,Pima County,county,AZ,AZ,"Tucson, AZ",4,19,181092,182061,183217,183963,184837,186089,187230,188637,189985,191219,192255,193223,194169,195240,196440,198078,199471,200634,201635,202485,203891,205174,206443,206502,207319,208410,209367,210275,210972,212262,213394,214529,215667,216473,218034,220446,221798,222852,223710,226382,227625,228830,230035,232633,235470,238179,243060,248427,254549,258884,262164,265422,270651,279340,288271,295586,300524,304841,308637,310794,314969,319898,327105,333133,338614,343742,345568,345988,344244,344560
3130,44,Saint Louis County,county,MO,MO,"St. Louis, MO-IL",29,189,172422,173253,174808,175939,176208,176402,176760,177686,178757,179783,180453,180958,181447,181835,182906,183899,184951,184773,184725,185183,185452,186276,186858,188216,190033,192337,194021,194161,193927,193428,193150,192480,192517,192880,193045,193578,194446,195919,196064,195869,195399,196342,198497,201275,204026,206623,209388,212006,214151,215149,217118,220035,224404,229506,233716,236122,236421,236245,237592,239349,242233,245950,250609,253982,256392,256962,256461,255654,255150,256085
1018,45,Fresno County,county,CA,CA,"Fresno, CA",6,19,226955,228746,230190,231460,232033,232942,235132,237130,238417,239774,240888,242588,244705,246948,248081,249356,252095,254785,257001,257298,257776,258176,259596,260720,261402,262244,263796,264415,264101,264119,265318,266951,267504,268245,268538,269047,269194,269882,271994,274312,275523,274987,277592,281732,287211,289916,292878,296560,300178,303596,308093,313551,320835,328406,337663,345881,352780,355757,358487,360510,365936,371564,377202,382463,386403,389543,391493,391614,390820,389801
2347,46,Honolulu County,county,HI,HI,"Urban Honolulu, HI",15,3,667871,669957,672237,673676,678986,683231,688109,688748,691856,695381,699373,701141,703386,706193,709739,711659,712192,712849,714457,717861,719056,719636,717544,716055,715838,718054,720012,719332,717807,717568,718293,717915,715686,713832,710677,707476,706419,706917,707576,708010,709493,712753,713589,714427,715979,719974,724713,729715,735960,743142,752279,761039,774372,788506,805822,819207,833958,846101,858609,866643,875083,886044,896988,907518,917126,926389,934016,936722,933569,928450
951,47,Collin County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,85,320386,321710,322314,323686,325855,328652,330102,331096,332380,333701,335067,335879,335646,336248,337950,339792,340393,339946,339623,339306,338802,338854,339419,340219,341453,341481,340658,339247,338644,338050,337476,337616,338928,339575,339780,338822,339615,339378,340020,339641,340118,340768,342426,345983,350024,354950,358516,362049,364009,368405,375389,385217,397076,409430,423813,435144,444773,452471,463348,475158,489578,502027,512776,525650,539101,550343,551236,546973,543807,546130
3148,48,Westchester County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,119,594409,597955,599996,603052,606371,610316,612609,614808,617416,620769,622473,626029,629169,633712,636122,635709,634602,629594,625465,621408,621331,622287,623902,622657,623196,621300,622294,624228,627375,628371,626823,626136,626322,625278,623439,623708,626044,630540,634093,634121,632920,630431,631879,634116,639502,646547,654659,660811,666548,670868,674650,679100,685793,698147,710715,720731,722686,723577,724597,727483,729273,734581,745739,757570,764600,767628,771424,775595,778868,776735
2480,49,Pinellas County,county,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",12,103,188163,187797,188026,189696,191504,193276,194926,197430,199402,201466,202899,204298,204224,204756,205616,207706,209400,211343,213125,214556,215294,216553,218476,220652,222621,222530,222631,222749,223675,224414,224809,224949,225100,225710,227189,228305,230010,232027,234801,236784,237899,239000,240011,242749,245799,249416,,263718,271317,274746,279143,284115,290159,297583,304856,312228,318744,324561,329959,333168,339680,347194,358260,370807,381603,390058,392738,395136,396504,398969
1165,50,Marion County,county,IN,IN,"Indianapolis-Carmel-Anderson, IN",18,97,120294,120510,121534,123005,124496,125741,126734,127773,128281,129316,130197,130984,131265,131411,132542,134150,135674,137162,138828,140554,141660,142180,143284,145165,147258,147871,147921,147442,148053,148196,148525,148783,150068,151239,152498,152956,154049,155238,156215,157028,157703,158774,160527,162512,164899,166738,168836,171374,173963,176900,179841,182187,184098,185955,188578,191028,193239,195901,199723,203704,208284,212630,215454,218302,220763,224221,225687,226874,228533,230456
2804,51,Milwaukee County,county,WI,WI,"Milwaukee-Waukesha, WI",55,79,127140,127780,127437,127604,127966,128821,129144,129778,130108,130712,131096,132755,134787,137009,139018,140178,140422,139722,139559,139977,140727,141380,141722,142392,142485,143805,145221,146754,147049,146497,146479,146546,146774,147462,148161,149812,151011,152642,153737,154805,155779,156425,157437,159180,161426,164003,166513,169145,171801,174962,177756,179920,181601,184895,188570,191175,192424,192553,193214,193158,194619,196980,200808,204482,206373,206854,206643,207157,207879,209244
