,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
0,3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,564461.0,567795.0,570658.0,572179.0,575524.0,579166.0,580856.0,583070.0,585613.0,590575.0,596773.0,601878.0,607155.0,612917.0,618703.0,623243.0,625227.0,627653.0,628168.0,629201.0,630364.0,633817.0,636129.0,635854.0,635279.0,633105.0,631271.0,630818.0,631688.0,633482.0,631409.0,631367.0,632638.0,637348.0,640082.0,643287.0,646414.0,652995.0,659827.0,665371.0,663189.0,660450.0,663031.0,672122.0,683282.0,693285.0,701027.0,706470.0,710277.0,717292.0,724304.0,734737.0,748675.0,766484.0,786445.0,798469.0,807117.0,809652.0,814209.0,819573.0
1,139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,233341.0,235168.0,237553.0,238976.0,239723.0,239413.0,239179.0,239223.0,240163.0,240801.0,241552.0,242943.0,245459.0,247857.0,248699.0,248840.0,248913.0,249166.0,249282.0,249208.0,249792.0,250182.0,251097.0,251855.0,252286.0,252901.0,253201.0,253595.0,253269.0,252812.0,252588.0,252224.0,252010.0,251497.0,251268.0,251157.0,251586.0,252148.0,252418.0,252189.0,251875.0,251903.0,253337.0,255197.0,258935.0,262272.0,265071.0,266731.0,267364.0,269636.0,271379.0,274385.0,276166.0,279190.0,282732.0,286479.0,289068.0,291559.0,294460.0,297191.0
2,1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,183745.0,184165.0,184612.0,185447.0,185949.0,186405.0,186451.0,186571.0,186778.0,187380.0,188035.0,188604.0,189288.0,189877.0,190514.0,191555.0,192597.0,193590.0,194241.0,195166.0,196112.0,197110.0,198035.0,198896.0,199943.0,200780.0,201171.0,201156.0,201247.0,201750.0,202237.0,202754.0,202949.0,203791.0,204479.0,205122.0,204815.0,204986.0,205936.0,207353.0,208233.0,208595.0,209054.0,210023.0,212226.0,214571.0,217130.0,219272.0,221362.0,223926.0,225167.0,226995.0,229258.0,234176.0,239565.0,245372.0,249810.0,253619.0,256223.0,259306.0
3,2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,237000.0,238452.0,240268.0,241526.0,242525.0,243610.0,245341.0,246310.0,247843.0,249187.0,250560.0,251318.0,252799.0,255128.0,257436.0,259306.0,260861.0,262160.0,263651.0,265162.0,267103.0,268298.0,269193.0,270032.0,271181.0,272433.0,273866.0,274712.0,275457.0,276179.0,277350.0,279277.0,280968.0,282651.0,284304.0,286401.0,288509.0,290603.0,293668.0,297951.0,300779.0,302492.0,304383.0,308815.0,314143.0,319502.0,324838.0,331099.0,338520.0,344920.0,353650.0,360262.0,372458.0,383871.0,397135.0,407112.0,415319.0,422809.0,428902.0,434638.0
4,2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,518024.0,521096.0,525041.0,530309.0,535393.0,539166.0,540648.0,541612.0,544003.0,549270.0,552671.0,556518.0,562505.0,568955.0,573093.0,572891.0,572319.0,573382.0,575423.0,578473.0,579641.0,581882.0,582800.0,582456.0,578759.0,576445.0,576089.0,579081.0,580687.0,582534.0,584773.0,586733.0,587296.0,587847.0,589840.0,592322.0,595231.0,598425.0,603992.0,607873.0,610751.0,610988.0,614516.0,621101.0,631063.0,641944.0,653853.0,664341.0,673644.0,681917.0,692024.0,705885.0,726619.0,750501.0,774050.0,788507.0,798103.0,802781.0,810221.0,821411.0
5,1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,675077.0,677231.0,681805.0,683185.0,685725.0,689193.0,690552.0,691364.0,693232.0,697425.0,702609.0,707814.0,712032.0,715856.0,719258.0,723535.0,727182.0,730692.0,731178.0,732086.0,731431.0,734263.0,734985.0,733891.0,731479.0,729307.0,728870.0,728338.0,729320.0,728424.0,729243.0,731054.0,736382.0,739714.0,739735.0,738132.0,740413.0,745315.0,752405.0,756447.0,755059.0,751734.0,751912.0,761659.0,771652.0,781953.0,788856.0,796777.0,804294.0,812571.0,822059.0,834096.0,853073.0,876598.0,899636.0,916572.0,927432.0,937178.0,949907.0,967565.0
6,2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,280981.0,282812.0,283621.0,284382.0,285746.0,287190.0,288463.0,289986.0,290951.0,292594.0,292999.0,294682.0,295551.0,297956.0,299882.0,302135.0,303761.0,305236.0,306709.0,307454.0,308425.0,308906.0,311516.0,313134.0,315159.0,315472.0,316379.0,317208.0,317319.0,317882.0,318185.0,318244.0,317973.0,318341.0,318685.0,318868.0,318896.0,321586.0,323903.0,325686.0,326698.0,327434.0,328673.0,329879.0,331823.0,333602.0,334902.0,337558.0,341605.0,345509.0,350171.0,352866.0,357786.0,362576.0,368802.0,375238.0,383128.0,391514.0,399269.0,407091.0
7,978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,179267.0,180774.0,182281.0,183837.0,185289.0,186249.0,187169.0,187145.0,187670.0,188175.0,189639.0,191516.0,194854.0,198284.0,201220.0,202672.0,204067.0,205458.0,207237.0,209860.0,210999.0,211614.0,211386.0,212555.0,215393.0,218026.0,220349.0,220531.0,220106.0,219572.0,219506.0,220687.0,222286.0,222054.0,221230.0,219952.0,222233.0,224281.0,226641.0,226734.0,226526.0,226332.0,226812.0,228826.0,231255.0,234138.0,235848.0,237802.0,240730.0,244352.0,247698.0,250552.0,253816.0,258244.0,262851.0,269777.0,276607.0,282163.0,285386.0,288263.0
8,581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,697038.0,701251.0,704945.0,708970.0,712794.0,715177.0,717853.0,721039.0,726494.0,732979.0,738607.0,743767.0,747202.0,751924.0,754902.0,757068.0,758976.0,762312.0,766083.0,769172.0,769725.0,771972.0,776233.0,781462.0,784887.0,787327.0,789427.0,791121.0,791946.0,792152.0,792953.0,790581.0,788256.0,784835.0,782679.0,781092.0,780466.0,780729.0,783101.0,785338.0,786947.0,787349.0,789906.0,793854.0,797693.0,800176.0,804209.0,806435.0,807350.0,807619.0,808394.0,810604.0,810581.0,812734.0,816226.0,824198.0,831770.0,836670.0,838053.0,839035.0
9,2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,338961.0,339463.0,341686.0,344096.0,346970.0,349590.0,351055.0,353356.0,355593.0,358286.0,359254.0,360134.0,361700.0,365692.0,369248.0,372648.0,375344.0,377830.0,379912.0,381102.0,381793.0,381623.0,382457.0,382826.0,384962.0,386259.0,388282.0,389248.0,389418.0,389461.0,390220.0,390978.0,391006.0,392430.0,392928.0,395792.0,395856.0,396942.0,397422.0,399435.0,401823.0,403334.0,405993.0,410303.0,416136.0,421538.0,427698.0,433921.0,439815.0,446444.0,454014.0,464349.0,476145.0,490772.0,507708.0,523561.0,535624.0,543516.0,547888.0,552256.0
10,1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,561116.0,563630.0,566565.0,568416.0,571629.0,574466.0,577891.0,581243.0,584417.0,588543.0,591805.0,594726.0,597144.0,600825.0,605316.0,610533.0,615161.0,620236.0,625493.0,629726.0,633173.0,634616.0,637050.0,640034.0,643187.0,646514.0,649002.0,650003.0,650373.0,649497.0,648976.0,648275.0,647027.0,646397.0,645866.0,646677.0,648579.0,651737.0,653268.0,654223.0,652724.0,652542.0,654377.0,656584.0,659765.0,660215.0,662862.0,666538.0,671437.0,673895.0,674833.0,675417.0,679512.0,683563.0,687941.0,690664.0,696029.0,701376.0,705809.0,708118.0
11,207,11,King County,county,WA,WA,"Seattle-Tacoma-Bellevue, WA",53,33,523734.0,530450.0,535131.0,541332.0,548797.0,556526.0,564045.0,570032.0,575336.0,582270.0,587113.0,594354.0,602358.0,614918.0,626749.0,633715.0,635432.0,633379.0,629860.0,627876.0,628777.0,629609.0,629148.0,626865.0,625325.0,622560.0,620430.0,616677.0,613622.0,609588.0,608386.0,608831.0,609464.0,609790.0,613920.0,621269.0,630711.0,638197.0,645265.0,648989.0,647448.0,646550.0,649466.0,659904.0,670773.0,682260.0,691158.0,695788.0,700710.0,706279.0,713054.0,724564.0,736071.0,756932.0,772180.0,785579.0,793783.0,800407.0,814205.0,826563.0
12,445,12,Clark County,county,NV,NV,"Las Vegas-Henderson-Paradise, NV",32,3,218397.0,218469.0,221348.0,223977.0,226664.0,230020.0,233767.0,236674.0,239885.0,243636.0,248002.0,252053.0,254687.0,258081.0,259852.0,262614.0,264911.0,268755.0,272209.0,275981.0,278588.0,280390.0,281306.0,283144.0,284885.0,286696.0,287074.0,288249.0,288715.0,288667.0,287222.0,285781.0,284567.0,284755.0,286151.0,287592.0,289096.0,290228.0,292554.0,295109.0,295406.0,293665.0,292761.0,294943.0,299242.0,302750.0,305977.0,309325.0,312797.0,316104.0,319834.0,324284.0,332661.0,343598.0,355148.0,364124.0,371631.0,378552.0,385830.0,392272.0
13,3250,13,San Bernardino County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,71,300826.0,303446.0,304861.0,306941.0,308059.0,310590.0,310195.0,311901.0,312991.0,316379.0,319489.0,322591.0,325617.0,328170.0,330442.0,332087.0,334402.0,335976.0,337315.0,338356.0,340583.0,342684.0,343323.0,343324.0,343944.0,344705.0,345817.0,346625.0,348013.0,348703.0,348532.0,349030.0,349717.0,351545.0,352939.0,354340.0,355536.0,357563.0,360216.0,362848.0,362585.0,362690.0,364776.0,369995.0,375537.0,381034.0,386308.0,392502.0,398699.0,404605.0,410892.0,418477.0,429185.0,439231.0,450929.0,461355.0,472422.0,477985.0,482322.0,487649.0
14,2049,14,Tarrant County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,439,186214.0,188310.0,189446.0,190785.0,191860.0,193425.0,194963.0,196513.0,198247.0,200318.0,202409.0,203999.0,205444.0,207047.0,208763.0,210213.0,211120.0,212350.0,213419.0,213903.0,214429.0,215011.0,216455.0,218073.0,219724.0,220782.0,221230.0,221516.0,222020.0,222182.0,222353.0,222967.0,224113.0,225292.0,226125.0,226791.0,227425.0,228347.0,229302.0,230017.0,230157.0,230841.0,231839.0,234343.0,236654.0,239386.0,241599.0,243901.0,245816.0,248112.0,251704.0,257615.0,264671.0,271636.0,278307.0,284414.0,290161.0,295148.0,299365.0,304226.0
15,386,15,Bexar County,county,TX,TX,"San Antonio-New Braunfels, TX",48,29,183298.0,185300.0,186504.0,186861.0,186988.0,187556.0,188431.0,189597.0,190555.0,191663.0,192643.0,193155.0,193208.0,193320.0,194438.0,195660.0,196924.0,197819.0,198768.0,199702.0,200049.0,200745.0,201133.0,202633.0,203831.0,205546.0,206231.0,207023.0,207486.0,208127.0,208745.0,209406.0,210481.0,211230.0,211954.0,211895.0,212366.0,212500.0,213417.0,213386.0,213489.0,213388.0,214331.0,215744.0,217981.0,220514.0,222787.0,224699.0,226571.0,229082.0,231662.0,235218.0,239616.0,245590.0,251057.0,256792.0,260644.0,264806.0,268541.0,273304.0
16,3136,16,Santa Clara County,county,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",6,85,1012307.0,1022159.0,1026809.0,1032616.0,1036266.0,1044508.0,1052748.0,1067843.0,1091200.0,1116664.0,1141707.0,1166568.0,1192789.0,1221692.0,1247404.0,1266513.0,1288887.0,1307325.0,1327407.0,1322694.0,1312403.0,1296546.0,1285926.0,1267211.0,1244643.0,1224652.0,1210176.0,1204258.0,1197506.0,1186746.0,1175700.0,1167161.0,1171151.0,1170810.0,1174426.0,1176432.0,1191352.0,1206328.0,1226165.0,1231319.0,1214363.0,1198399.0,1193879.0,1218568.0,1238112.0,1255382.0,1268245.0,1279353.0,1287929.0,1289866.0,1293119.0,1308616.0,1346412.0,1392875.0,1429466.0,1449936.0,1455905.0,1464486.0,1478702.0,1498969.0
17,1561,17,Broward County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,11,235280.0,235662.0,236270.0,238165.0,239479.0,240718.0,241614.0,243135.0,244577.0,246269.0,247949.0,249763.0,250739.0,251772.0,254030.0,255610.0,257823.0,259168.0,261031.0,262385.0,263214.0,264147.0,265867.0,267656.0,269361.0,269754.0,270273.0,270624.0,270731.0,271092.0,270843.0,270765.0,271208.0,272524.0,273643.0,273969.0,275019.0,276351.0,277982.0,280117.0,282221.0,283608.0,282689.0,283075.0,284673.0,288449.0,292172.0,295759.0,298490.0,300746.0,303386.0,306443.0,311658.0,317841.0,325774.0,333133.0,340783.0,347298.0,353426.0,359050.0
18,791,18,Wayne County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,163,85657.0,86535.0,87140.0,88029.0,89085.0,90455.0,91159.0,91860.0,92396.0,93058.0,93540.0,94079.0,95021.0,96303.0,98279.0,100213.0,101866.0,102640.0,103223.0,103607.0,104345.0,104945.0,105603.0,106286.0,106722.0,107228.0,107539.0,108402.0,109423.0,110364.0,110868.0,111040.0,111274.0,111257.0,111612.0,111777.0,112417.0,112845.0,113885.0,114959.0,115457.0,115434.0,116124.0,117758.0,119623.0,121298.0,123639.0,126507.0,128724.0,130720.0,131921.0,133282.0,135038.0,137544.0,139900.0,142422.0,144100.0,146321.0,146797.0,147836.0
19,1510,19,Alameda County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,1,749303.0,753150.0,760196.0,763514.0,766237.0,770016.0,776509.0,782562.0,792257.0,799668.0,808720.0,819518.0,832005.0,842494.0,850675.0,861400.0,872921.0,880286.0,886269.0,891650.0,894745.0,894444.0,891649.0,883157.0,874723.0,870286.0,870131.0,869712.0,867755.0,866178.0,866313.0,865582.0,865427.0,863472.0,861638.0,864150.0,872713.0,878744.0,886265.0,884335.0,876965.0,868439.0,873938.0,890247.0,907854.0,921695.0,936311.0,943771.0,949188.0,959168.0,980031.0,1004786.0,1032590.0,1062561.0,1095516.0,1115509.0,1124560.0,1123451.0,1131068.0,1141590.0
20,2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,61,1272229.0,1267958.0,1257340.0,1251123.0,1252148.0,1257071.0,1267754.0,1268610.0,1270543.0,1275603.0,1284730.0,1291219.0,1288297.0,1295442.0,1302231.0,1310288.0,1309291.0,1306111.0,1302783.0,1303829.0,1308660.0,1312739.0,1320428.0,1321130.0,1321944.0,1312011.0,1309439.0,1299072.0,1294323.0,1285394.0,1281439.0,1269840.0,1256520.0,1245777.0,1245962.0,1252079.0,1256528.0,1255053.0,1247531.0,1244912.0,1238067.0,1233048.0,1220323.0,1216161.0,1212840.0,1218634.0,1217052.0,1215273.0,1207563.0,1200960.0,1196271.0,1199314.0,1207860.0,1220219.0,1233193.0,1247134.0,1258280.0,1265118.0,1270266.0,1273518.0
21,2801,21,Middlesex County,county,MA,MA,"Boston-Cambridge-Newton, MA-NH",25,17,496881.0,496631.0,499126.0,502465.0,508221.0,510484.0,513252.0,514078.0,517757.0,520965.0,525242.0,528076.0,531178.0,535960.0,540021.0,542739.0,543612.0,545104.0,546967.0,547954.0,548416.0,548662.0,549385.0,550619.0,552104.0,552997.0,552246.0,552022.0,551139.0,551999.0,551338.0,551171.0,552215.0,552859.0,553984.0,554202.0,556823.0,559235.0,562569.0,564264.0,562860.0,561523.0,562095.0,569027.0,576176.0,584767.0,591905.0,599134.0,603931.0,609602.0,614943.0,620624.0,629389.0,641238.0,653063.0,660347.0,663559.0,666889.0,670310.0,674536.0
22,3175,22,Philadelphia County,county,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,101,149454.0,149586.0,149417.0,150588.0,151931.0,152773.0,153366.0,154017.0,155026.0,156757.0,158305.0,160156.0,161734.0,163888.0,166118.0,167826.0,169055.0,169705.0,170858.0,172093.0,173609.0,174789.0,176279.0,177991.0,180009.0,181379.0,182028.0,182227.0,182937.0,183645.0,184484.0,185123.0,185931.0,186678.0,187300.0,188210.0,189247.0,190481.0,191815.0,193099.0,193672.0,194162.0,195755.0,198819.0,201596.0,204344.0,206525.0,209032.0,211454.0,213885.0,216052.0,217839.0,220162.0,222522.0,224715.0,226031.0,227125.0,228175.0,229208.0,230125.0
23,3017,23,Sacramento County,county,CA,CA,"Sacramento-Roseville-Folsom, CA",6,67,321025.0,324338.0,328019.0,329901.0,331582.0,334986.0,337975.0,339410.0,340254.0,342331.0,344893.0,348552.0,351880.0,355636.0,357581.0,358999.0,360788.0,362894.0,364815.0,365501.0,365220.0,364923.0,365262.0,366708.0,367349.0,367464.0,367419.0,369278.0,371530.0,373340.0,373568.0,373152.0,374036.0,375432.0,378983.0,382186.0,385409.0,387926.0,391231.0,394006.0,394209.0,392591.0,393823.0,397990.0,404468.0,411349.0,417873.0,425050.0,430644.0,438516.0,444158.0,452883.0,461357.0,473087.0,486121.0,497372.0,506967.0,509267.0,512267.0,515522.0
24,2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,478255.0,479423.0,479490.0,479856.0,483106.0,487795.0,492780.0,496069.0,499120.0,502001.0,504733.0,505855.0,506310.0,506704.0,508233.0,509863.0,512397.0,515006.0,517925.0,520911.0,523829.0,526132.0,527626.0,527510.0,527575.0,527134.0,529585.0,532690.0,535110.0,535967.0,536169.0,536518.0,536793.0,536111.0,535160.0,534924.0,535887.0,538924.0,541790.0,544535.0,546268.0,548052.0,550054.0,553990.0,560679.0,569952.0,581113.0,591564.0,600256.0,606704.0,614102.0,622018.0,631781.0,640323.0,651444.0,660922.0,670639.0,676032.0,680091.0,683871.0
25,2993,25,Palm Beach County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,99,262468.0,264116.0,265109.0,265926.0,266718.0,267876.0,269268.0,270854.0,272820.0,274724.0,275953.0,276742.0,277891.0,279562.0,280679.0,281312.0,282289.0,283789.0,285471.0,286545.0,287167.0,288080.0,289313.0,290999.0,292104.0,291870.0,292058.0,292072.0,292935.0,293544.0,294592.0,295067.0,294651.0,294631.0,295651.0,296729.0,298157.0,299784.0,301123.0,301472.0,301115.0,301369.0,303088.0,305673.0,309156.0,311872.0,314784.0,317762.0,320846.0,323556.0,327674.0,333523.0,340969.0,349381.0,357511.0,366104.0,374774.0,384511.0,393944.0,402279.0
26,401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,5,363327.0,364783.0,364001.0,362749.0,363596.0,366437.0,371644.0,375408.0,381057.0,383567.0,385561.0,385011.0,385225.0,383665.0,385302.0,388358.0,394330.0,399379.0,402155.0,404700.0,405195.0,407364.0,409990.0,412718.0,417666.0,423659.0,430293.0,433695.0,436042.0,438977.0,442282.0,445530.0,447970.0,449801.0,451140.0,453773.0,459262.0,463264.0,462782.0,460445.0,459322.0,463347.0,465636.0,465981.0,464436.0,462849.0,462283.0,461440.0,463872.0,466381.0,470455.0,472370.0,471165.0,468128.0,466530.0,468781.0,472311.0,475332.0,477963.0,479764.0
27,3165,27,Hillsborough County,county,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",12,57,204025.0,205443.0,206488.0,208422.0,209964.0,211577.0,212423.0,213445.0,214259.0,214891.0,216277.0,217797.0,219628.0,221663.0,223994.0,225525.0,225862.0,226081.0,226874.0,228312.0,230075.0,231526.0,232757.0,234156.0,235866.0,236893.0,237315.0,237460.0,238136.0,238319.0,238800.0,239105.0,239284.0,239567.0,240037.0,241077.0,242545.0,243973.0,245348.0,246553.0,247630.0,249113.0,250543.0,253220.0,255574.0,258196.0,260295.0,263619.0,267523.0,272243.0,276966.0,281429.0,286913.0,295644.0,306534.0,316576.0,324765.0,331408.0,339338.0,346059.0
28,1252,28,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,59,503890.0,506686.0,509412.0,511440.0,515121.0,519739.0,523914.0,526906.0,528305.0,530251.0,531677.0,534059.0,536306.0,539426.0,543216.0,547734.0,551768.0,554486.0,555413.0,556622.0,559032.0,563130.0,566023.0,568823.0,570160.0,572484.0,573922.0,575396.0,575120.0,574468.0,572933.0,572550.0,571546.0,570892.0,571128.0,572492.0,573997.0,575102.0,575332.0,575699.0,576430.0,576551.0,578652.0,579957.0,586334.0,593534.0,601800.0,608468.0,613032.0,618299.0,622379.0,626711.0,630334.0,637118.0,646325.0,657022.0,664021.0,667713.0,669427.0,671246.0
29,1287,29,Orange County,county,FL,FL,"Orlando-Kissimmee-Sanford, FL",12,95,216407.0,218920.0,220782.0,222424.0,223283.0,225395.0,226537.0,227951.0,229636.0,231191.0,233014.0,234602.0,235173.0,236424.0,237832.0,240742.0,243111.0,245000.0,246482.0,247612.0,249021.0,250801.0,252955.0,255039.0,257005.0,257872.0,258331.0,257952.0,257985.0,258238.0,258595.0,259106.0,259730.0,260542.0,261694.0,262818.0,263981.0,265406.0,266454.0,268143.0,269647.0,271349.0,272467.0,274102.0,275424.0,277842.0,280276.0,282894.0,285555.0,287517.0,290160.0,292869.0,296908.0,302992.0,311045.0,319260.0,326705.0,333082.0,340479.0,347387.0
30,2288,30,Franklin County,county,OH,OH,"Columbus, OH",39,49,158463.0,160846.0,162955.0,164428.0,165385.0,166427.0,167260.0,168188.0,169169.0,170597.0,172267.0,174066.0,174272.0,173484.0,173614.0,175288.0,178038.0,179908.0,181616.0,182761.0,183532.0,184652.0,185511.0,186400.0,187350.0,188922.0,190641.0,191919.0,193257.0,194150.0,194523.0,194685.0,195404.0,196520.0,197516.0,199072.0,201061.0,203228.0,204630.0,205855.0,206684.0,207526.0,208558.0,210466.0,212787.0,215251.0,218188.0,221525.0,224845.0,227663.0,230517.0,233355.0,236867.0,240691.0,244437.0,247071.0,249304.0,251938.0,255099.0,258011.0
31,1950,31,Oakland County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,125,222713.0,223356.0,226020.0,228467.0,231520.0,232586.0,232568.0,232268.0,232978.0,233994.0,235727.0,237439.0,240172.0,242079.0,243126.0,244047.0,246131.0,248167.0,249753.0,250140.0,250646.0,250478.0,251719.0,253018.0,255533.0,257308.0,258892.0,259322.0,259631.0,259669.0,259698.0,259542.0,259212.0,259863.0,260092.0,260527.0,261324.0,262988.0,267341.0,270212.0,271462.0,268014.0,265373.0,265276.0,268870.0,273240.0,276656.0,280015.0,281983.0,285059.0,287617.0,291008.0,295081.0,300309.0,306170.0,310195.0,312242.0,313915.0,315748.0,319333.0
32,2241,32,Cuyahoga County,county,OH,OH,"Cleveland-Elyria, OH",39,35,116194.0,116480.0,117352.0,118822.0,120311.0,121025.0,121120.0,121348.0,122067.0,123126.0,123847.0,124257.0,124749.0,126704.0,128380.0,129888.0,129847.0,130128.0,130393.0,130650.0,131172.0,131617.0,132591.0,133307.0,134068.0,134141.0,134514.0,134580.0,135602.0,136176.0,137230.0,137981.0,138367.0,138455.0,138127.0,138574.0,139449.0,140474.0,141177.0,142356.0,143154.0,144187.0,145228.0,147586.0,150287.0,152868.0,154718.0,155978.0,157548.0,159501.0,161976.0,164176.0,167778.0,171863.0,175913.0,178080.0,179702.0,180355.0,181372.0,182453.0
33,2339,33,Hennepin County,county,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27,53,261717.0,263181.0,265443.0,268332.0,270565.0,271519.0,272359.0,272945.0,273546.0,273791.0,275321.0,277643.0,281114.0,284639.0,287230.0,288868.0,289434.0,290284.0,290538.0,291698.0,292870.0,294573.0,295511.0,296662.0,297579.0,298976.0,299709.0,300743.0,300566.0,300336.0,299568.0,299497.0,300699.0,302585.0,305351.0,307881.0,309073.0,309628.0,309551.0,310782.0,312196.0,313851.0,314807.0,316856.0,319565.0,324070.0,327393.0,330018.0,332303.0,334921.0,337835.0,339732.0,342439.0,346403.0,351728.0,354707.0,356109.0,355832.0,357189.0,359422.0
34,1440,34,Travis County,county,TX,TX,"Austin-Round Rock-Georgetown, TX",48,453,325911.0,326691.0,328006.0,330030.0,331178.0,331734.0,331684.0,331844.0,332673.0,334262.0,336178.0,338025.0,339889.0,341179.0,342049.0,342071.0,342770.0,344319.0,346025.0,348516.0,349496.0,350990.0,350970.0,352091.0,353809.0,356503.0,357893.0,359048.0,359422.0,360160.0,360470.0,361420.0,363502.0,364524.0,366061.0,366919.0,369556.0,371528.0,375067.0,378695.0,382273.0,384065.0,386227.0,390341.0,396491.0,402925.0,410397.0,416785.0,423393.0,434898.0,451120.0,,495903.0,521615.0,542652.0,558117.0,563704.0,569697.0,575242.0,588695.0
35,2614,35,Allegheny County,county,PA,PA,"Pittsburgh, PA",42,3,145787.0,145884.0,146084.0,147411.0,148443.0,149062.0,149574.0,150305.0,151127.0,151711.0,152244.0,152725.0,153493.0,153838.0,155581.0,157099.0,158679.0,158944.0,159264.0,159760.0,160271.0,160917.0,161468.0,161943.0,162561.0,163517.0,164150.0,164308.0,165025.0,166044.0,166809.0,166908.0,166692.0,167044.0,167961.0,169130.0,169972.0,170539.0,171696.0,172765.0,172552.0,172459.0,173419.0,176254.0,179550.0,182826.0,185740.0,188108.0,190967.0,192197.0,193569.0,195347.0,200799.0,206073.0,210027.0,211620.0,212091.0,212635.0,212917.0,214270.0
36,1694,36,Fairfax County,county,VA,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,59,527495.0,530978.0,530324.0,532261.0,529915.0,530627.0,530318.0,532929.0,534566.0,536089.0,536906.0,536083.0,537967.0,539009.0,543766.0,544397.0,545950.0,546357.0,547286.0,548841.0,550116.0,551226.0,551638.0,552475.0,553496.0,556022.0,558934.0,561509.0,562087.0,561145.0,560770.0,562867.0,565640.0,569346.0,572631.0,576060.0,577572.0,579231.0,580663.0,584496.0,585369.0,588369.0,591169.0,598553.0,604103.0,609768.0,613527.0,617572.0,622978.0,625704.0,630388.0,637117.0,648061.0,657294.0,660809.0,660649.0,660774.0,662601.0,666850.0,671837.0
37,3159,37,Contra Costa County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,13,610168.0,615440.0,619084.0,623862.0,626714.0,627189.0,628600.0,630622.0,637772.0,642902.0,648339.0,652046.0,657683.0,663887.0,667361.0,668065.0,670492.0,675025.0,679510.0,679656.0,683683.0,688432.0,690911.0,689214.0,686823.0,683488.0,679225.0,676550.0,676021.0,674972.0,675332.0,675369.0,675796.0,677263.0,679869.0,683801.0,680250.0,677739.0,675972.0,678934.0,675107.0,672130.0,677858.0,692348.0,710114.0,721192.0,730435.0,737832.0,744998.0,754256.0,761982.0,774676.0,797080.0,822877.0,854485.0,871252.0,881639.0,881731.0,886993.0,896021.0
